County,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,latitude,longitude
Apache,44,45,44,189,58,57,82,58,58,58,48,35.39560875,-109.4888645
Cochise,2360,2805,2794,4200,2332,2559,3506,2788,2426,2194,3033,31.87956666,-109.7513105
Coconino,3276,3216,3106,2208,852,806,999,736,678,289,213,35.83873501,-111.7705232
Gila,5850,6759,6436,7992,3877,4410,6723,6358,6049,5957,6529,33.79975518,-110.8117477
Graham,3623,4544,4267,6875,3358,3480,6428,4642,7750,8384,8958,32.93272139,-109.8874482
Greenlee,627,1135,1136,744,522,608,1182,995,1196,1285,1781,33.21548848,-109.2402271
La Paz,3003,3378,3489,6393,4092,4468,6405,5072,5318,4635,5130,33.7292692,-113.9813492
Maricopa,2242,2286,2060,3506,1622,1996,4140,2719,2302,1796,1962,33.34883461,-112.4912934
Mohave,15360,16422,16256,16224,8080,8850,13186,8690,7569,6726,7233,35.70406591,-113.7579203
Navajo,43,44,45,132,40,37,119,46,51,52,55,35.39954492,-110.3214135
Pima,4627,4246,4397,5291,3508,3822,6685,6415,6256,6184,6406,32.09739168,-111.7899409
Pinal,7733,7848,7821,12741,7417,8429,16077,13412,13819,13022,13968,32.90436346,-111.3447375
Santa Cruz,2186,2034,1771,1862,1257,1607,2782,2255,2266,3183,5135,31.52600595,-110.8465816
Yavapai,5869,6276,6155,10250,5902,6627,11926,10068,9181,8696,9136,34.59988678,-112.5538749
Yuma,228,459,507,1087,233,236,751,407,329,268,322,32.76940937,-113.905575
